Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run,Chrome 69.0.3497.100,,2018-10-12 20:27:07,2018-10-12 20:27:31,23.357s,FAILED
,,,,,,
Test Cases/MyProject/First,Chrome 69.0.3497.100,,2018-10-12 20:27:08,2018-10-12 20:27:30,21.871s,FAILED
"Statement - verfies = CustomKeywords.apps.Login.Log(url, username, password)",Chrome 69.0.3497.100,,2018-10-12 20:27:09,2018-10-12 20:27:30,20.826s,FAILED
