Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run,Chrome 69.0.3497.100,,2018-10-12 20:42:27,2018-10-12 20:42:44,16.488s,FAILED
,,,,,,
Test Cases/MyProject/First,Chrome 69.0.3497.100,,2018-10-12 20:42:28,2018-10-12 20:42:43,14.655s,FAILED
"Statement - verfies = CustomKeywords.apps.Login.Log(url, username, password)",Chrome 69.0.3497.100,,2018-10-12 20:42:29,2018-10-12 20:42:43,13.753s,FAILED
